Kode Item,Nama Item,Satuan,Jumlah,Total Item
0106-1100-16,"EMBEDDING CASSETTE, 45°ANGLE MARKING AREA, W/REMOVABLE LID & STRIPE HOLES, HISTOLOGY, P.O.M. MATERIAL. WHITE",BOX,6,1560000.0
0106-1100-16,"EMBEDDING CASSETTE, 45°ANGLE MARKING AREA, W/REMOVABLE LID & STRIPE HOLES, HISTOLOGY, P.O.M. MATERIAL. WHITE",CARTON,4,6400000.0
10,CC SPUIT 10 CC,BOX,3,795000.0
11803,Biosystem Glucose 1x50ml,BOX,1,825000.0
1218,Miconazole Nitrate Krim 2%,BOX,2,245175.0
1218,Miconazole Nitrate Krim 2%,TUBE,350,3255000.0
1374,Cetirizine HCl 10 mg TSS,BOX,6,360562.95999999996
1710001,FORTRESS Widal Test control positif and negatif,SET,5,1117117.15
1749,Lansoprazole 30mg Kapsul Lepas Tunda,BOX,3,224603.91
1CC,SPUIT 1 CC,BOX,49,6507345.25
1CC,SPUIT 1 CC,PCS,800,990984.0
2121-0030,"INOCULATION LOOPS, FLEXIBLE, 1μL+INCORPORATED NEEDLE, ABS MATERIAL, NEUTRAL COLOR. 1PC/PEEL-PK, GAMMA STERILE",BOX,16,7200000.0
2121-0030,"INOCULATION LOOPS, FLEXIBLE, 1μL+INCORPORATED NEEDLE, ABS MATERIAL, NEUTRAL COLOR. 1PC/PEEL-PK, GAMMA STERILE",CARTON,2,9000000.0
2121-0030,"INOCULATION LOOPS, FLEXIBLE, 1μL+INCORPORATED NEEDLE, ABS MATERIAL, NEUTRAL COLOR. 1PC/PEEL-PK, GAMMA STERILE INOCULATION LOOPS, FLEXIBLE, 1μL+INCORPORATED NEEDLE, ABS MATERIAL, No Transaksi TNaEnUgTgRaAlL COLORK. o1PdCe /PPEeEl.L-PK, GNAamMMa APelanggan Alamat STERILE",CARTON,1,4500000.0
2121-0034-02,"INOCULATION LOOPS, FLEXIBLE, 10μL+INCORPORATED NEEDLE, ABS MATERIAL, BLUE COLOR. 1PC/PEEL-PK, GAMMA STERILE",BOX,68,30600000.0
2121-0034-02,"INOCULATION LOOPS, FLEXIBLE, 10μL+INCORPORATED NEEDLE, ABS MATERIAL, BLUE COLOR. 1PC/PEEL-PK, GAMMA STERILE",CARTON,2,9000000.0
2121-0034-02,"INOCULATION LOOPS, FLEXIBLE, 10μL+INCORPORATED NEEDLE, ABS MATERIAL, BLUE COLOR. 1PC/PEEL-PK, GAMMA STERILE",PAK,25,427927.75
2121-2005,"INOCULATION LOOPS,10μL, HIPS MATERIAL, DARK BLUE COLOR. 20PCS/ZIP-LOCK PACK, 03/07/2026 13.49 ADMGAINMMA STERILE. 9/23 No Transaksi TINaOnCgUgLaAlTION LOKOoPdSe,1 P0μeLl., HIPS NMaAmTEaR PIAeLla,nggan Alamat DARK BLUE COLOR. 20PCS/ZIP-LOCK PACK, GAMMA STERILE.",BOX,2,1300000.0
2121-2005,"INOCULATION LOOPS,10μL, HIPS MATERIAL, DARK BLUE COLOR. 20PCS/ZIP-LOCK PACK, GAMMA STERILE.",BOX,7,4350000.0
2122-0022,MICROBIAL COLLECTION SWAB Diam 2.2mm x 150mm Cotton Head Polystyrene Individual Peel Pack Gamma Sterile 500/Pack,PAK,1,1531531.53
220,Paracetamol 120 mg/5 ml Syr,BTL,5,25255.0
2303-1060,"PETRI DISHES, PS MATERIAL. DIA.60MM X 15MM. 1 ROOM/3 VENTS. E.O. STERILE.",CARTON,3,4500000.0
2303-1090,"PETRI DISHES, PS MATERIAL. DIA.90MM X 15MM, 1 ROOM/3 VENTS. E.O.STERILE",CARTON,110,66888000.0
268,Cefadroxil Monohydrate 500mg Kapsul Bernofarm,BOX,35,3490362.18
268,Cefadroxil Monohydrate 500mg Kapsul Bernofarm,TAB,1721,2349250.0
3,CC SPUIT 3 CC,BOX,137,13724953.969999999
343,Ondancetron HCl Dihydrate 8 mg Kaplet Salut Selaput,BOX,30,3576000.0
343,Ondancetron HCl Dihydrate 8 mg Kaplet Salut Selaput,TAB,900,2846241.0
367812,TUBE PLN PLH 13X75 4.0 PLBL RD,BOX,5,1454800.0
367856,"TUBE EDTA PLH 13X75, 3.0",BOX,454,103056025.0
367957,"TUBE SST II PLH 13X75, 3.5",BOX,449,130125600.0
3WAY,Three Way Stopcock Onemed Threeway 3 Way,PCS,19,285000.0
4004-0105,"CYLINDRICAL TEST TUBE, PLAIN, VOL.3ML, 10X75MM, 0.8-1.0MM THICK, MEDIUM BOROSILICATE GLASS MATERIAL",CARTON,9,5850000.0
4004-0111,"CYLINDRICAL TEST TUBE, PLAIN, VOL.5ML, 12X75MM, 0.8-1.0MM THICK, MEDIUM BOROSILICATE GLASS MATERIAL",BOX,7,656250.0
4004-0111,"CYLINDRICAL TEST TUBE, PLAIN, VOL.5ML, 12X75MM, 0.8-1.0MM THICK, MEDIUM BOROSILICATE GLASS MATERIAL",CARTON,15,11250000.0
4004-0805,"CYLINDRICAL TEST TUBE, PLAIN, VOL.5ML/12X75MM, PS MATERIAL",CARTON,97,97000000.0
4004-0805,"CYLINDRICAL TEST TUBE, PLAIN, VOL.5ML/12X75MM, PS MATERIAL",POLYBAG,6,600000.0
4004-1021,"CYLINDRICAL CULTURE TUBE, WITH DUAL- POSITION SNAP CAP IN PE MATERIAL (LOOSE FOR AEROBIC CULTURING, TIGHT FOR SEALING), TUBES IN PS MATERIAL. VOL.15ML/17X100MM, WITH GRADUATION AT EACH 1/2ML UP TO 12ML. INDIVIDUAL PEEL-PK, GAMMA STERILE",CARTON,5,6500000.0
4320-0111,"PASTEUR PIPETTE, LDPE MATERIAL, CAP.5ML/145MM LONG, GRADUATED AT EVERY 1/4ML UP TO 1ML",BOX,10,2000000.0
4320-0112,"PASTEUR PIPETTE, LDPE MATERIAL, CAP.5ML/145MM LONG, GRADUATED AT EVERY 1/4ML UP TO 1ML. INDIVIDUAL FLOW-PACK, E.O. STERILE",BOX,1,65000.0
4320-0112,"PASTEUR PIPETTE, LDPE MATERIAL, CAP.5ML/145MM LONG, GRADUATED AT EVERY 1/4ML UP TO 1ML. INDIVIDUAL FLOW-PACK, E.O. STERILE",CARTON,2,1300000.0
4320-0112,"PASTEUR PIPETTE, LDPE MATERIAL, CAP.5ML/145MM LONG, GRADUATED AT EVERY 1/4ML UP TO 1ML. INDIVIDUAL FLOW-PACK, E.O. STERILE No Transaksi TPAanSgTEgUalR PIPETTKEo, dLDe PPEe Ml.ATERNIAaLm, a Pelanggan Alamat CAP.5ML/145MM LONG, GRADUATED AT EVERY 1/4ML UP TO 1ML. INDIVIDUAL FLOW-PACK, E.O. STERILE",CARTON,2,1300000.0
4320-0511,"PASTEUR PIPETTE, LDPE MATERIAL, CAP.7ML/155MM LONG, GRADUATED AT EVERY 1/2ML UP TO 3ML",BOX,14,1920000.0
4320-0511,"PASTEUR PIPETTE, LDPE MATERIAL, CAP.7ML/155MM LONG, GRADUATED AT EVERY 1/2ML UP TO 3ML No Transaksi TPAanSgTEgUalR PIPETTKEo, dLDe PPEe Ml.ATERNIAaLm, a Pelanggan Alamat CAP.7ML/155MM LONG, GRADUATED AT EVERY 1/2ML UP TO 3ML",BOX,5,750000.0
4320-0513,"PASTEUR PIPETTE, LDPE MATERIAL, CAP.7ML/155MM LONG, GRADUATED AT EVERY 1/2ML UP TO 3ML. INDIVIDUAL PEEL-PACK, E.O. STERILE",BOX,19,2850000.0
4320-0513,"PASTEUR PIPETTE, LDPE MATERIAL, CAP.7ML/155MM LONG, GRADUATED AT EVERY 1/2ML UP TO 3ML. INDIVIDUAL PEEL-PACK, E.O. STERILE",CARTON,8,5600000.0
4330-0004-02,"Blue Tips,VOL.1000μl,Eppendorf/Universal type,PP material",CARTON,1,900000.0
4330-0004-02,"Blue Tips,VOL.1000μl,Eppendorf/Universal type,PP material BAG",ZIP-LOCK,59,4060675.6500000004
4330-0012-02,"Blue Tips,Gilson/Universal type,VOL.1000μl,graduated at 100/250/500/100μl,PP BAG material",ZIP-LOCK,57,2422500.0
4330-0012-02,"Blue Tips,Gilson/Universal type,VOL.1000μl,graduated at 100/250/500/100μl,PP material",CARTON,2,1700000.0
4330-0016-17,"Yellow Tips,VOL.200μl,Eppendorf/Universal type,PP material",BOX,39,3042342.3
4330-0021-17,"Yellow Tips,Gilson/Universal type,VOL.200μl,graduated at 10/20/50/100μl,PP BAG material",ZIP-LOCK,19,1045000.0
4330-0021-17,"Yellow Tips,Gilson/Universal type,VOL.200μl,graduated at 10/20/50/100μl,PP material",CARTON,4,4400000.0
4330-0023,"Pipet Tips,eppendorf type,VOL.10μl,PP material,Natural color",CARTON,2,2400000.0
4330-0023,"Pipet Tips,eppendorf type,VOL.10μl,PP material,Natural color",POLYBAG,20,1171700.0
