No Transaksi,Tanggal,Kode Pel.,Nama Pelanggan,Kode Item,Nama Item,Jumlah,Satuan,Harga,Potongan %,Total Item,Subtotal,Pajak,Total Akhir,Tahun,Bulan,Periode
0001/JL/0123,2023-01-03,PL-0029,PT. FOKUS SAHABAT,4004-0805,"CYLINDRICAL TEST TUBE, PLAIN, VOL.5ML/12X75MM, PS MATERIAL",10,CARTON,1000000.0,0.0,10000000.0,10000000.0,1100000.0,11100000.0,2023,1,2023-01
0002/JL/0123,2023-01-05,PL-0029,PT. FOKUS SAHABAT,4004-0805,"CYLINDRICAL TEST TUBE, PLAIN, VOL.5ML/12X75MM, PS MATERIAL",4,CARTON,1000000.0,0.0,4000000.0,5200000.0,572000.0,5772000.0,2023,1,2023-01
0002/JL/0123,2023-01-05,PL-0029,PT. FOKUS SAHABAT,4330-0023,"Pipet Tips,eppendorf type,VOL.10μl,PP material,Natural color",1,CARTON,1200000.0,0.0,1200000.0,5200000.0,572000.0,5772000.0,2023,1,2023-01
0004/JL/0123,2023-01-13,PL-0029,PT. FOKUS SAHABAT,2121-0030,"INOCULATION LOOPS, FLEXIBLE, 1μL+INCORPORATED NEEDLE, ABS MATERIAL, NEUTRAL COLOR. 1PC/PEEL-PK, GAMMA STERILE",10,BOX,450000.0,0.0,4500000.0,9000000.0,990000.0,9990000.0,2023,1,2023-01
0004/JL/0123,2023-01-13,PL-0029,PT. FOKUS SAHABAT,2121-0034-02,"INOCULATION LOOPS, FLEXIBLE, 10μL+INCORPORATED NEEDLE, ABS MATERIAL, BLUE COLOR. 1PC/PEEL-PK, GAMMA STERILE",10,BOX,450000.0,0.0,4500000.0,9000000.0,990000.0,9990000.0,2023,1,2023-01
0005/JL/0123,2023-01-13,PL-0030,APOTEK FARMARIN BANK,HS-HC,60 ML HAPPY CARE HAND SANITIZER 60 ML,5000,BTL,9800.0,38.0,30380000.0,30380000.0,3341800.0,33721800.0,2023,1,2023-01
0003/JL/0123,2023-01-17,PL-0001,RUMAH SAKIT YARSI,FCQ-AG,FastClear Q Covid-19 Ag Nasal,20,BOX,1200000.0,0.0,24000000.0,24000000.0,2640000.0,26640000.0,2023,1,2023-01
0006/JL/0123,2023-01-17,PL-0029,PT. FOKUS SAHABAT,4004-0111,"CYLINDRICAL TEST TUBE, PLAIN, VOL.5ML, 12X75MM, 0.8-1.0MM THICK, MEDIUM BOROSILICATE GLASS MATERIAL",2,CARTON,750000.0,0.0,1500000.0,1500000.0,165000.0,1665000.0,2023,1,2023-01
0007/JL/0123,2023-01-24,PL-0001,RUMAH SAKIT YARSI,FCQ-AG,FastClear Q Covid-19 Ag Nasal,14,BOX,1200000.0,0.0,16800000.0,16800000.0,1848000.0,18648000.0,2023,1,2023-01
0008/JL/0123,2023-01-26,PL-0001,RUMAH SAKIT YARSI,SHM-006,"SHAMROCK LATEX FREE POWDER ""M""",200,BOX,86486.49,0.0,17297298.0,43243245.0,4756756.95,48000001.95,2023,1,2023-01
0008/JL/0123,2023-01-26,PL-0001,RUMAH SAKIT YARSI,SHM-007,SHAMROCK LATEX FREE POWDER ''S'',300,BOX,86486.49,0.0,25945947.0,43243245.0,4756756.95,48000001.95,2023,1,2023-01
0009/JL/0223,2023-02-02,PL-0029,PT. FOKUS SAHABAT,4004-0111,"CYLINDRICAL TEST TUBE, PLAIN, VOL.5ML, 12X75MM, 0.8-1.0MM THICK, MEDIUM BOROSILICATE GLASS MATERIAL",4,CARTON,750000.0,0.0,3000000.0,3000000.0,330000.0,3330000.0,2023,2,2023-02
0010/JL/0223,2023-02-06,PL-0029,PT. FOKUS SAHABAT,4004-0805,"CYLINDRICAL TEST TUBE, PLAIN, VOL.5ML/12X75MM, PS MATERIAL",1,CARTON,1000000.0,0.0,1000000.0,2550000.0,280500.0,2830500.0,2023,2,2023-02
0010/JL/0223,2023-02-06,PL-0029,PT. FOKUS SAHABAT,4610-1924,"Centrifuge Tube, PP material, conical bottom, Vol.15ml/17x120mm, BLUE printed graduation from 1.5ml to 15ml/graduation interval 0.5ml. Screw cap leakage-proof, GREY color. DNase-free, RNase-free, Non-Pyrogen, Assembled, E.O. sterile, individual flow-pack, 50pcs/box",2,CARTON,775000.0,0.0,1550000.0,2550000.0,280500.0,2830500.0,2023,2,2023-02
0011/JL/0223,2023-02-07,PL-0029,PT. FOKUS SAHABAT,4004-0805,"CYLINDRICAL TEST TUBE, PLAIN, VOL.5ML/12X75MM, PS MATERIAL",12,CARTON,1000000.0,0.0,12000000.0,12000000.0,1320000.0,13320000.0,2023,2,2023-02
0012/JL/0223,2023-02-10,PL-0029,PT. FOKUS SAHABAT,4004-0805,"CYLINDRICAL TEST TUBE, PLAIN, VOL.5ML/12X75MM, PS MATERIAL",7,CARTON,1000000.0,0.0,7000000.0,7500000.0,825000.0,8325000.0,2023,2,2023-02
0012/JL/0223,2023-02-10,PL-0029,PT. FOKUS SAHABAT,4320-0111,"PASTEUR PIPETTE, LDPE MATERIAL, CAP.5ML/145MM LONG, GRADUATED AT EVERY 1/4ML UP TO 1ML",1,BOX,200000.0,0.0,200000.0,7500000.0,825000.0,8325000.0,2023,2,2023-02
0012/JL/0223,2023-02-10,PL-0029,PT. FOKUS SAHABAT,4610-1924,"Centrifuge Tube, PP material, conical bottom, Vol.15ml/17x120mm, BLUE printed graduation from 1.5ml to 15ml/graduation interval 0.5ml. Screw cap leakage-proof, GREY color. DNase-free, RNase-free, Non-Pyrogen, Assembled, E.O. sterile, individual flow-pack, 50pcs/box",4,BOX,75000.0,0.0,300000.0,7500000.0,825000.0,8325000.0,2023,2,2023-02
0013/JL/0223,2023-02-14,PL-0001,RUMAH SAKIT YARSI,SHM-005,SHAMROCK LATEX FREE POWDER ''L'',200,BOX,86486.49,0.0,17297298.0,43243245.0,4756756.95,48000001.95,2023,2,2023-02
0013/JL/0223,2023-02-14,PL-0001,RUMAH SAKIT YARSI,SHM-006,"SHAMROCK LATEX FREE POWDER ""M""",100,BOX,86486.49,0.0,8648649.0,43243245.0,4756756.95,48000001.95,2023,2,2023-02
