Kode Item,Nama Item,Satuan Standar,Aktual,Prediksi_SMA,Prediksi_Decision_Tree,Error_SMA,Error_Decision_Tree,Error_Persen_SMA,Error_Persen_Decision_Tree
CEFIX100,Cefixime Trihydrate 100mg Tss Bernofarm,BOX,19.0,1006.0,310.90695209834684,141.85714285714286,44.828759159450144,22559.259259259255,78.24727992087043
CIFLX,Tab CIPROFLOXACIN TAB,BOX,15.0,1207.3333333333335,310.90695209834684,171.1904761904762,45.70099315690669,1703.7037037037037,219.30761622156282
MK08-503B,STERILE SAFETY LANCET MK08-503B,BOX,2.0,27.0,35.36973293768546,3.5714285714285716,4.7671047053836375,1150.0,152.64094955489617
DEXAMETHMUL,Dexametasone 0.5 '200tab,BOX,13.0,3671.0,705.8541331072489,523.3333333333333,98.97916187246413,1138.888888888889,1104.7838066977536
268,Cefadroxil Monohydrate 500mg Kapsul Bernofarm,BOX,35.0,1125.0,310.90695209834684,156.57142857142858,47.986707442620975,1122.5925925925928,107.02274975272009
615,Paracetamol 500 mg Kaplet,TAB,107100.0,107033.33333333333,1512.4151617917198,28666.666666666668,15404.431972789116,670.4795204795205,149.61285943814556
AMD,5mg Amlodipine 5mg,BOX,32.0,2350.3333333333335,774.4587842700396,331.76190476190476,106.06554061000566,588.8888888888888,554.2355517874807
METHYL125,Inj METHYLPREDNISOLON 125MG INJ,BOX,74.0,1824.6666666666667,705.8541331072489,256.85714285714283,108.8212135892933,497.22222222222223,162.1112759643917
5,CC SPUIT 5 CC,BOX,53.0,51.0,35.36973293768546,14.0,10.323442136498516,277.7777777777778,79.16083086053413
MK09-231,LATEX FOLEY CATHETER 2-WAY FR16,PCS,249.0,223.0,218.06874611828033,64.57142857142857,60.979638593412666,255.55555555555557,442.1725481244769
3,CC SPUIT 3 CC,BOX,55.0,51.66666666666667,35.36973293768546,13.80952380952381,10.037727850784231,166.66666666666669,45.47537091988131
PO-8.7X13,Plastik Obat Ukuran 8.7x13,PAK,1150.0,1100.0,1282.747508305648,278.57142857142856,281.5489637715552,111.11111111111111,129.28571428571428
367856,"TUBE EDTA PLH 13X75, 3.0",BOX,154.0,180.0,35.36973293768546,16.571428571428573,18.390843577787198,110.90828924162258,68.77411332485516
AS,ALKOHOL SWAB,BOX,100.0,34.0,98.92156510937824,19.142857142857142,26.97370387531177,100.0,94.94718100890208
SGD,STRIP GULA DARAH,BOX,10.0,10.0,35.36973293768546,2.857142857142857,5.037727850784231,100.0,49.47181008902077
4330-0023,"Pipet Tips,eppendorf type,VOL.10μl,PP material,Natural color",POLYBAG,1.0,0.3333333333333333,35.36973293768546,0.19047619047619047,4.909961848240781,100.0,405.28189910979233
AKHL,70% 1L ALKOHOL 70% 1 LITER,BTL,31.0,10.333333333333334,35.36973293768546,5.904761904761905,7.180584993641374,100.0,75.19075879610004
IV,20G IV CHATETER NO 20G,PCS,10.0,66.66666666666667,98.92156510937824,10.952380952380953,14.116561018168913,100.0,49.47181008902077
1CC,SPUIT 1 CC,BOX,4.0,1.3333333333333333,35.36973293768546,0.7619047619047619,4.481390419669352,100.0,152.64094955489617
ONEMED-CATGUT,"Catgut Chromic Uk. 3/0, HR-27, Tapper 75cm 3",PCS,20.0,6.666666666666666,35.36973293768546,3.8095238095238093,6.180584993641374,100.0,239.34405747305954
SCT,STRIP CHOLESTEROL,BOX,2.0,2.0,35.36973293768546,0.5714285714285714,4.7671047053836375,100.0,152.64094955489617
IV,22G IV CHATETER NO 22G,PCS,50.0,36.66666666666667,35.36973293768546,12.380952380952381,10.752013565069944,100.0,89.89436201780416
MK04-115,ELECTROSURGICAL PENCIL MK04-115,PCS,669.0,856.3333333333334,1395.2145022690604,98.19047619047619,141.28645713478272,93.96929824561404,105.68972819646015
BISPRO2.5,Bisoprolol Tab 2.5mg Bernofarm,TAB,4100.0,3533.3333333333335,1333.248495125053,900.0,578.8367346938775,90.74074074074075,57.40814328105129
METR500,Metronidazole 500mg Tab,TAB,1500.0,507.3333333333333,226.0252294527638,239.04761904761904,224.08637873754154,88.86666666666667,94.75264739033423
OME40MGINJ,OMEPRAZOLE SODIUM MONOHYDRATE 40mg SERBUK INJ,VIAL,2050.0,703.3333333333333,557.4205782899732,298.0952380952381,330.3986710963455,87.5,92.07560071768684
UFIX5,ULTRAFIX MEDICAL 5X5,BOX,86.0,52.0,35.36973293768546,15.904761904761907,11.578974141585418,86.31535947712419,53.83915168441264
POT-KS,Pot Tutup Kuning Sterile,PCS,5000.0,4333.333333333333,1907.3623428006217,1047.6190476190477,789.4244272189588,83.33333333333333,88.40419174791577
DOMPS,Domperidone 5mg/5ml Syr Bernofarm,BTL,71.0,71.0,35.36973293768546,15.80952380952381,10.864688427299706,82.91005291005291,61.50233149639678
268,Cefadroxil Monohydrate 500mg Kapsul Bernofarm,TAB,1721.0,596.3333333333333,557.420578289973,235.52380952380955,208.31561461794018,82.07437824297728,76.67655359483682
MK08-565,MASKER MULTI ONE PLUS 3PLY EARLOOP,BOX,160.0,220.0,35.36973293768546,44.76190476190476,23.578974141585416,79.62962962962962,90.45578635014836
KLX-R,Kassa Lipat X-Ray 10cm x 10cm,PAK,35.0,36.66666666666667,35.36973293768546,6.904761904761905,5.736922424756252,77.77777777777777,41.754698318496544
LEVOTAB,LEVOPAR TAB,BOX,130.0,130.0,35.36973293768546,26.666666666666664,19.29325985587113,75.55555555555556,87.6486646884273
S,"3/0 27,75 BENANG SILK 3/0 27mm, 75cm",PCS,34.0,29.333333333333336,35.36973293768546,6.285714285714286,7.3234421364985165,71.85185185185186,185.62215628091
