Kode Item,Nama Item,Satuan Standar,Jumlah_Bulan_Data,Jumlah_Bulan_Terjual,Total_Permintaan,Rata_Rata_Permintaan,Maksimum_Permintaan,Status_Kelayakan
0106-1100-16,"EMBEDDING CASSETTE, 45°ANGLE MARKING AREA, W/REMOVABLE LID & STRIPE HOLES, HISTOLOGY, P.O.M. MATERIAL. WHITE",BOX,34,2,6.0,0.17647058823529413,4.0,Data Terlalu Sedikit
0106-1100-16,"EMBEDDING CASSETTE, 45°ANGLE MARKING AREA, W/REMOVABLE LID & STRIPE HOLES, HISTOLOGY, P.O.M. MATERIAL. WHITE",CARTON,35,1,4.0,0.11428571428571428,4.0,Data Terlalu Sedikit
10,CC SPUIT 10 CC,BOX,33,1,3.0,0.09090909090909091,3.0,Data Terlalu Sedikit
11803,Biosystem Glucose 1x50ml,BOX,33,1,1.0,0.030303030303030304,1.0,Data Terlalu Sedikit
1218,Miconazole Nitrate Krim 2%,BOX,34,2,2.0,0.058823529411764705,1.0,Data Terlalu Sedikit
1218,Miconazole Nitrate Krim 2%,TUBE,35,1,350.0,10.0,350.0,Data Terlalu Sedikit
1374,Cetirizine HCl 10 mg TSS,BOX,33,1,6.0,0.18181818181818182,6.0,Data Terlalu Sedikit
1710001,FORTRESS Widal Test control positif and negatif,SET,33,1,5.0,0.15151515151515152,5.0,Data Terlalu Sedikit
1749,Lansoprazole 30mg Kapsul Lepas Tunda,BOX,33,2,3.0,0.09090909090909091,2.0,Data Terlalu Sedikit
1CC,SPUIT 1 CC,BOX,34,4,49.0,1.4411764705882353,25.0,Layak Diprediksi
1CC,SPUIT 1 CC,PCS,35,1,800.0,22.857142857142858,800.0,Data Terlalu Sedikit
2121-0030,"INOCULATION LOOPS, FLEXIBLE, 1μL+INCORPORATED NEEDLE, ABS MATERIAL, NEUTRAL COLOR. 1PC/PEEL-PK, GAMMA STERILE",BOX,35,2,6.0,0.17142857142857143,4.0,Data Terlalu Sedikit
2121-0030,"INOCULATION LOOPS, FLEXIBLE, 1μL+INCORPORATED NEEDLE, ABS MATERIAL, NEUTRAL COLOR. 1PC/PEEL-PK, GAMMA STERILE",CARTON,35,2,2.0,0.05714285714285714,1.0,Data Terlalu Sedikit
2121-0030,"INOCULATION LOOPS, FLEXIBLE, 1μL+INCORPORATED NEEDLE, ABS MATERIAL, NEUTRAL COLOR. 1PC/PEEL-PK, GAMMA STERILE INOCULATION LOOPS, FLEXIBLE, 1μL+INCORPORATED NEEDLE, ABS MATERIAL, No Transaksi TNaEnUgTgRaAlL COLORK. o1PdCe /PPEeEl.L-PK, GNAamMMa APelanggan Alamat STERILE",CARTON,35,1,1.0,0.02857142857142857,1.0,Data Terlalu Sedikit
2121-0034-02,"INOCULATION LOOPS, FLEXIBLE, 10μL+INCORPORATED NEEDLE, ABS MATERIAL, BLUE COLOR. 1PC/PEEL-PK, GAMMA STERILE",BOX,35,7,58.0,1.6571428571428573,19.0,Layak Diprediksi
