Periode Prediksi,Kode Item,Nama Item,Satuan Standar,Lag_1,Lag_2,Lag_3,Lag_6,Lag_12,Rolling_Mean_3,Rolling_Max_3,Rolling_Min_3,Rolling_Mean_6,Rolling_Mean_12,Tahun,Bulan,Prediksi_SMA,Prediksi_Decision_Tree,Model_Terbaik,Prediksi_Model_Terbaik,Prioritas Restock,Keterangan,Aktual_Januari_2026,Selisih_Decision_Tree,Selisih_SMA,Abs_Error_Decision_Tree,Abs_Error_SMA,Bounded_Error_Decision_Tree,Bounded_Error_SMA
2026-01,OTR-S,OTORO LATEX FREE POWDER ''S'',BOX,300.0,420.0,400.0,250.0,0.0,373.3333333333333,420.0,300.0,361.6666666666667,325.8333333333333,2026,1,374,286,Decision Tree Regression,286,Prioritas Tinggi,Produk memiliki estimasi permintaan tinggi pada bulan prediksi.,300,-14,74,14,74,4.666666666666667,24.666666666666668
2026-01,OTO-M,OTORO LATEX FREE POWDER ''M'',BOX,300.0,450.0,350.0,200.0,0.0,366.6666666666667,450.0,300.0,318.6666666666667,280.1666666666667,2026,1,367,238,Decision Tree Regression,238,Prioritas Tinggi,Produk memiliki estimasi permintaan tinggi pada bulan prediksi.,300,-62,67,62,67,20.666666666666668,22.333333333333332
2026-01,OTO-L,OTORO LATEX FREE POWDER ''L'',BOX,0.0,200.0,150.0,150.0,0.0,116.66666666666669,200.0,0.0,128.33333333333334,114.16666666666669,2026,1,117,69,Decision Tree Regression,69,Prioritas Tinggi,Produk memiliki estimasi permintaan tinggi pada bulan prediksi.,100,-31,17,31,17,31.0,17.0
2026-01,MK09-231,LATEX FOLEY CATHETER 2-WAY FR16,PCS,0.0,39.0,0.0,10.0,0.0,13.0,39.0,0.0,8.166666666666666,20.75,2026,1,13,6,Decision Tree Regression,6,Prioritas Tinggi,Produk memiliki estimasi permintaan tinggi pada bulan prediksi.,83,-77,-70,77,70,92.7710843373494,84.33734939759037
2026-01,"KLP-7,5X7,5","Kassa Lipat Polos 7,5cm x 7,5cm",PAK,70.0,40.0,50.0,70.0,20.0,53.333333333333336,70.0,40.0,58.333333333333336,50.0,2026,1,54,6,Decision Tree Regression,6,Prioritas Tinggi,Produk memiliki estimasi permintaan tinggi pada bulan prediksi.,60,-54,-6,54,6,90.0,10.0
2026-01,KLP-10X10,Kassa Lipat Polos 10cm x 10cm,PAK,40.0,50.0,20.0,20.0,0.0,36.66666666666666,50.0,20.0,38.333333333333336,36.66666666666666,2026,1,37,6,Decision Tree Regression,6,Prioritas Tinggi,Produk memiliki estimasi permintaan tinggi pada bulan prediksi.,55,-49,-18,49,18,89.0909090909091,32.72727272727273
2026-01,METRDI500,Metronidazole Infus 500mg/100ml,BTL,0.0,50.0,0.0,100.0,0.0,16.666666666666668,50.0,0.0,51.66666666666666,25.83333333333333,2026,1,17,6,Decision Tree Regression,6,Prioritas Tinggi,Produk memiliki estimasi permintaan tinggi pada bulan prediksi.,40,-34,-23,34,23,85.0,57.49999999999999
2026-01,KLX-R,Kassa Lipat X-Ray 10cm x 10cm,PAK,5.0,10.0,20.0,0.0,0.0,11.666666666666666,20.0,5.0,5.833333333333333,4.583333333333333,2026,1,12,6,Decision Tree Regression,6,Prioritas Tinggi,Produk memiliki estimasi permintaan tinggi pada bulan prediksi.,10,-4,2,4,2,40.0,20.0
2026-01,KLP-5X5,Kassa Lipat Polos 5cm x 5cm (400 pcs),PAK,35.0,30.0,20.0,25.0,15.0,28.33333333333333,35.0,20.0,22.5,17.833333333333332,2026,1,29,6,Decision Tree Regression,6,Prioritas Tinggi,Produk memiliki estimasi permintaan tinggi pada bulan prediksi.,6,0,23,0,23,0.0,100.0
2026-01,METR500,Metronidazole 500mg Tab,TAB,0.0,500.0,0.0,500.0,0.0,166.66666666666666,500.0,0.0,250.0,125.0,2026,1,167,317,Decision Tree Regression,317,Prioritas Tinggi,Produk memiliki estimasi permintaan tinggi pada bulan prediksi.,0,317,167,317,167,100.0,100.0
