Kode Item,Nama Item,Satuan Standar
1CC,SPUIT 1 CC,BOX
2121-0034-02,"INOCULATION LOOPS, FLEXIBLE, 10μL+INCORPORATED NEEDLE, ABS MATERIAL, BLUE COLOR. 1PC/PEEL-PK, GAMMA STERILE",BOX
268,Cefadroxil Monohydrate 500mg Kapsul Bernofarm,BOX
268,Cefadroxil Monohydrate 500mg Kapsul Bernofarm,TAB
3,CC SPUIT 3 CC,BOX
367856,"TUBE EDTA PLH 13X75, 3.0",BOX
367957,"TUBE SST II PLH 13X75, 3.5",BOX
4004-0805,"CYLINDRICAL TEST TUBE, PLAIN, VOL.5ML/12X75MM, PS MATERIAL",CARTON
4330-0004-02,"Blue Tips,VOL.1000μl,Eppendorf/Universal type,PP material BAG",ZIP-LOCK
4330-0012-02,"Blue Tips,Gilson/Universal type,VOL.1000μl,graduated at 100/250/500/100μl,PP BAG material",ZIP-LOCK
4330-0016-17,"Yellow Tips,VOL.200μl,Eppendorf/Universal type,PP material",BOX
4330-0023,"Pipet Tips,eppendorf type,VOL.10μl,PP material,Natural color",POLYBAG
4610-1924,"Centrifuge Tube, PP material, conical bottom, Vol.15ml/17x120mm, BLUE printed graduation from 1.5ml to 15ml/graduation interval 0.5ml. Screw cap leakage-proof, GREY color. DNase-free, RNase-free, Non-Pyrogen, Assembled, E.O. sterile, individual flow-pack, 50pcs/box",CARTON
5,CC SPUIT 5 CC,BOX
615,Paracetamol 500 mg Kaplet,TAB
AKHL,70% 1L ALKOHOL 70% 1 LITER,BTL
AMD,5mg Amlodipine 5mg,BOX
AS,ALKOHOL SWAB,BOX
ASWAG60,Ashwagandha+ 60 Kapsul,BTL
ATM-RTA,ALTAMED COVID-19 RAPID TEST KIT ANTIGEN @25 PCS,BOX
BISPRO2.5,Bisoprolol Tab 2.5mg Bernofarm,TAB
CEFIX100,Cefixime Trihydrate 100mg Tss Bernofarm,BOX
CIFLX,Tab CIPROFLOXACIN TAB,BOX
DEXAMETHMUL,Dexametasone 0.5 '200tab,BOX
DOMPS,Domperidone 5mg/5ml Syr Bernofarm,BTL
IV,20G IV CHATETER NO 20G,PCS
IV,22G IV CHATETER NO 22G,PCS
IV,24G IV CHATETER NO 24G,PCS
KLP-10X10,Kassa Lipat Polos 10cm x 10cm,PAK
KLP-5X5,Kassa Lipat Polos 5cm x 5cm (400 pcs),PAK
"KLP-7,5X7,5","Kassa Lipat Polos 7,5cm x 7,5cm",PAK
KLX-R,Kassa Lipat X-Ray 10cm x 10cm,PAK
LEVOTAB,LEVOPAR TAB,BOX
LEVXC500-INF,Levofloxacin Infus 500MG/100ML,BTL
LGN-RTA,LUNGENE COVID-19 ANTIGEN RAPID TEST,BOX
MASFP-6.5,SURGICAL GLOVE STERILE FREE POWDER 6.5 MAS,PCS
MASFP-7,SURGICAL GLOVE STERILE FREE POWDER 7 MAS,PCS
MASFP-7.5,SURGICAL GLOVE STERILE FREE POWDER 7.5 MAS,PCS
METHYL125,Inj METHYLPREDNISOLON 125MG INJ,BOX
METR500,Metronidazole 500mg Tab,TAB
METRDI500,Metronidazole Infus 500mg/100ml,BTL
MK04-115,ELECTROSURGICAL PENCIL MK04-115,PCS
MK08-503B,STERILE SAFETY LANCET MK08-503B,BOX
MK08-565,MASKER MULTI ONE PLUS 3PLY EARLOOP,BOX
MK09-135,NASAL OXYGEN CANNULA ADULT,PCS
MK09-231,LATEX FOLEY CATHETER 2-WAY FR16,PCS
NM-USGG5L,NAM MEDICAL ULTRASOUND GEL 5,DRIGEN
OME40MGINJ,OMEPRAZOLE SODIUM MONOHYDRATE 40mg SERBUK INJ,VIAL
ONEMED-CATGUT,"Catgut Chromic Uk. 3/0, HR-27, Tapper 75cm 3",PCS
OTO-L,OTORO LATEX FREE POWDER ''L'',BOX
OTO-M,OTORO LATEX FREE POWDER ''M'',BOX
OTR-S,OTORO LATEX FREE POWDER ''S'',BOX
OTRP-M,OTORO LATEX POWDER ''M'',BOX
OTRP-S,OTORO LATEX POWDER ''S'',BOX
PCT-INFUS,Paracetamol 1 G/100ml Infus TD,BOX
PO-8.7X13,Plastik Obat Ukuran 8.7x13,PAK
POT-KS,Pot Tutup Kuning Sterile,PCS
PRAZ30,PRAZOTEC INJ 30MG,VIAL
PSE,OXA PULSE OXYMETER ANAK,PCS
S,"3/0 27,75 BENANG SILK 3/0 27mm, 75cm",PCS
SAU,STRIP ASAM URAT,BOX
SCT,STRIP CHOLESTEROL,BOX
SCTM,SUCTION CONNECTING TUBE MAS,PCS
SGD,STRIP GULA DARAH,BOX
SHB,STRIP HEMOGOBLIN (HB),BOX
SHM-005,SHAMROCK LATEX FREE POWDER ''L'',BOX
SHM-006,"SHAMROCK LATEX FREE POWDER ""M""",BOX
SHM-007,SHAMROCK LATEX FREE POWDER ''S'',BOX
UFIX5,ULTRAFIX MEDICAL 5X5,BOX
URS-10T,URINE STRIP 10U,BTL
