Kode Item,Nama Item,Satuan,Jumlah,Total Item
0106-1100-16,"EMBEDDING CASSETTE, 45°ANGLE MARKING AREA, W/REMOVABLE LID & STRIPE HOLES, HISTOLOGY, P.O.M. MATERIAL. WHITE",BOX,6,1560000.0
0106-1100-16,"EMBEDDING CASSETTE, 45°ANGLE MARKING AREA, W/REMOVABLE LID & STRIPE HOLES, HISTOLOGY, P.O.M. MATERIAL. WHITE",CARTON,4,6400000.0
1218,Miconazole Nitrate Krim 2%,BOX,2,245175.0
1218,Miconazole Nitrate Krim 2%,TUBE,350,3255000.0
1CC,SPUIT 1 CC,BOX,49,6507345.25
1CC,SPUIT 1 CC,PCS,800,990984.0
2121-0030,"INOCULATION LOOPS, FLEXIBLE, 1μL+INCORPORATED NEEDLE, ABS MATERIAL, NEUTRAL COLOR. 1PC/PEEL-PK, GAMMA STERILE",BOX,16,7200000.0
2121-0030,"INOCULATION LOOPS, FLEXIBLE, 1μL+INCORPORATED NEEDLE, ABS MATERIAL, NEUTRAL COLOR. 1PC/PEEL-PK, GAMMA STERILE",CARTON,2,9000000.0
2121-0034-02,"INOCULATION LOOPS, FLEXIBLE, 10μL+INCORPORATED NEEDLE, ABS MATERIAL, BLUE COLOR. 1PC/PEEL-PK, GAMMA STERILE",BOX,68,30600000.0
2121-0034-02,"INOCULATION LOOPS, FLEXIBLE, 10μL+INCORPORATED NEEDLE, ABS MATERIAL, BLUE COLOR. 1PC/PEEL-PK, GAMMA STERILE",CARTON,2,9000000.0
2121-0034-02,"INOCULATION LOOPS, FLEXIBLE, 10μL+INCORPORATED NEEDLE, ABS MATERIAL, BLUE COLOR. 1PC/PEEL-PK, GAMMA STERILE",PAK,25,427927.75
268,Cefadroxil Monohydrate 500mg Kapsul Bernofarm,BOX,35,3490362.18
268,Cefadroxil Monohydrate 500mg Kapsul Bernofarm,TAB,1721,2349250.0
343,Ondancetron HCl Dihydrate 8 mg Kaplet Salut Selaput,BOX,30,3576000.0
343,Ondancetron HCl Dihydrate 8 mg Kaplet Salut Selaput,TAB,900,2846241.0
4004-0111,"CYLINDRICAL TEST TUBE, PLAIN, VOL.5ML, 12X75MM, 0.8-1.0MM THICK, MEDIUM BOROSILICATE GLASS MATERIAL",BOX,7,656250.0
4004-0111,"CYLINDRICAL TEST TUBE, PLAIN, VOL.5ML, 12X75MM, 0.8-1.0MM THICK, MEDIUM BOROSILICATE GLASS MATERIAL",CARTON,15,11250000.0
4004-0805,"CYLINDRICAL TEST TUBE, PLAIN, VOL.5ML/12X75MM, PS MATERIAL",CARTON,97,97000000.0
4004-0805,"CYLINDRICAL TEST TUBE, PLAIN, VOL.5ML/12X75MM, PS MATERIAL",POLYBAG,6,600000.0
4320-0112,"PASTEUR PIPETTE, LDPE MATERIAL, CAP.5ML/145MM LONG, GRADUATED AT EVERY 1/4ML UP TO 1ML. INDIVIDUAL FLOW-PACK, E.O. STERILE",BOX,1,65000.0
4320-0112,"PASTEUR PIPETTE, LDPE MATERIAL, CAP.5ML/145MM LONG, GRADUATED AT EVERY 1/4ML UP TO 1ML. INDIVIDUAL FLOW-PACK, E.O. STERILE",CARTON,2,1300000.0
4320-0513,"PASTEUR PIPETTE, LDPE MATERIAL, CAP.7ML/155MM LONG, GRADUATED AT EVERY 1/2ML UP TO 3ML. INDIVIDUAL PEEL-PACK, E.O. STERILE",BOX,19,2850000.0
4320-0513,"PASTEUR PIPETTE, LDPE MATERIAL, CAP.7ML/155MM LONG, GRADUATED AT EVERY 1/2ML UP TO 3ML. INDIVIDUAL PEEL-PACK, E.O. STERILE",CARTON,8,5600000.0
4330-0023,"Pipet Tips,eppendorf type,VOL.10μl,PP material,Natural color",CARTON,2,2400000.0
4330-0023,"Pipet Tips,eppendorf type,VOL.10μl,PP material,Natural color",POLYBAG,20,1171700.0
4610-1924,"Centrifuge Tube, PP material, conical bottom, Vol.15ml/17x120mm, BLUE printed graduation from 1.5ml to 15ml/graduation interval 0.5ml. Screw cap leakage-proof, GREY color. DNase-free, RNase-free, Non-Pyrogen, Assembled, E.O. sterile, individual flow-pack, 50pcs/box",BOX,9,687500.0
4610-1924,"Centrifuge Tube, PP material, conical bottom, Vol.15ml/17x120mm, BLUE printed graduation from 1.5ml to 15ml/graduation interval 0.5ml. Screw cap leakage-proof, GREY color. DNase-free, RNase-free, Non-Pyrogen, Assembled, E.O. sterile, individual flow-pack, 50pcs/box",CARTON,19,14300000.0
5600-0001,"SHARP CONTAINER, FOR CLINICAL WASTE, PP MATERIAL, RECTANGULAR SHAPE. LID IN TRANSPARENT COLOR, CONTAINER IN YELLOW COLOR, VOL.1L/ L105XW85XH180MM",CARTON,4,3840000.0
5600-0001,"SHARP CONTAINER, FOR CLINICAL WASTE, PP MATERIAL, RECTANGULAR SHAPE. LID IN TRANSPARENT COLOR, CONTAINER IN YELLOW COLOR, VOL.1L/ L105XW85XH180MM",PCS,50,675676.0
615,Paracetamol 500 mg Kaplet,BOX,5,105378.45999999999
615,Paracetamol 500 mg Kaplet,TAB,106600,62737100.0
775,Domperidone Maleate 10 mg TSS,BOX,2,79200.0
775,Domperidone Maleate 10 mg TSS,TAB,28,26320.0
ALPARA,Tab Alpara Tab,BOX,1,135000.0
ALPARA,Tab Alpara Tab,TAB,1000,1300000.0
AMBTAB,Ambroxol Tab Bernofarm,BOX,52,1209949.54
AMBTAB,Ambroxol Tab Bernofarm,TAB,10000,8000000.0
AMD,10mg Amlodipine 10mg,BOX,51,2988570.27
AMD,10mg Amlodipine 10mg,TAB,5500,1863350.0
AMD,5mg Amlodipine 5mg,BOX,32,1182880.0
AMD,5mg Amlodipine 5mg,TAB,1500,253575.0
AMPCL,- Inj Ampicillin Inj,AMPUL,60,1692000.0
AMPCL,- Inj Ampicillin Inj,BOX,10,1071000.0
ANTAST,Antasida Tab - Triman,BOX,32,910245.04
ANTAST,Antasida Tab - Triman,TAB,100,52500.0
ATRAX500-TAB,Asam Tranexamat 500mg Tab - Berno Berno,BOX,15,2424000.0
ATRAX500-TAB,Asam Tranexamat 500mg Tab - Berno Berno,TAB,3050,5765000.0
BTHS6,Betahistine 6mg Tab,BOX,9,1522350.0
BTHS6,Betahistine 6mg Tab,TAB,1000,1610000.0
CANDS16,Candesartan 16mg Tab,BOX,30,5242500.0
CANDS16,Candesartan 16mg Tab,TAB,8000,4978080.0
CANDS8,Candesartan 8mg Tab,BOX,15,5239500.0
CANDS8,Candesartan 8mg Tab,TAB,7000,3410000.0
CEFIX100,Cefixime Trihydrate 100mg Tss Bernofarm,BOX,19,2275344.14
CEFIX100,Cefixime Trihydrate 100mg Tss Bernofarm,TAB,2500,5183125.0
CEFO1INJ,Cefotaxime 1gr Serb Inj,AMPUL,100,2979800.0
CEFO1INJ,Cefotaxime 1gr Serb Inj,BOX,50,6727500.0
CEFRXO-INJ,Ceftriaxone Inj - Bernofarm,AMPUL,100,2950000.0
CEFRXO-INJ,Ceftriaxone Inj - Bernofarm,BOX,100,16445000.0
CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,BOX,101,6195000.0
CEFXTR200,CEFIXIME 200MG KAPSUL BERNOFARM,TAB,2100,2725275.0
CIFLX,Tab CIPROFLOXACIN TAB,BOX,15,867864.8500000001
CIFLX,Tab CIPROFLOXACIN TAB,TAB,1804,1254840.0
CITCL250,Inj Citicoline 250mg/2ml Inj Bernofarm,AMPUL,50,879500.0
CITCL250,Inj Citicoline 250mg/2ml Inj Bernofarm,BOX,15,1341000.0
CVPLX-T,Caviplex Tab,BOX,10,851570.5
CVPLX-T,Caviplex Tab,TAB,1000,2355000.0
DCAPT1007T00,"CAPTOPRILl 12,5 MG TAB 5",BOX,2,37518.0
DCAPT1007T00,"CAPTOPRILl 12,5 MG TAB 5",TAB,500,418500.0
DEXAMETHMUL,Dexametasone 0.5 '200tab,BOX,13,148352.34
DEXAMETHMUL,Dexametasone 0.5 '200tab,TAB,10000,5040000.0
DMETF1033T00,Metformin 500mg Tab@200's (HJ) 1,BOX,10,393690.0
DMETF1033T00,Metformin 500mg Tab@200's (HJ) 1,TAB,1000,694000.0
DNIFE1028T005,Nifedipine 10 mg Tab,BOX,3,76455.0
DNIFE1028T005,Nifedipine 10 mg Tab,TAB,1400,980000.0
GBP300,GABAPENTIN 300 MG,BOX,50,2100000.0
GBP300,GABAPENTIN 300 MG,TAB,600,386400.0
GLIMP1,GLIMEPIRIDE 1 MG,BOX,1,30302.7
GLIMP1,GLIMEPIRIDE 1 MG,TAB,500,192500.0
GTMC-SKKF,Gentamicin Cream SK - KF,BOX,2,125800.0
GTMC-SKKF,Gentamicin Cream SK - KF,TUBE,1300,10304500.0
IBPR400,Tab Ibuprofen 400mg Tab,BOX,11,435986.48
IBPR400,Tab Ibuprofen 400mg Tab,TAB,734,587200.0
ISD-02,INFUS SET DEWASA,BOX,48,13124324.0
